,date_tag_0,value_tag_0,date_tag_1,value_tag_1,date_tag_2,value_tag_2,date_tag_3,value_tag_3,date_tag_4,value_tag_4
0,2022-01-11T00:00:00,44.0,2022-01-11T00:00:00,44.0,2022-01-11T00:00:00,76.0,2022-01-11T00:00:00,75.71768,2022-01-11T00:00:00,43.199265
1,2022-01-11T00:12:14.011,44.0,2022-01-11T00:12:14.011,44.0,2022-01-11T00:27:14.023,76.0,2022-01-11T00:01:05.3,76.0,2022-01-11T00:05:57.239,43.4
2,2022-01-11T00:37:14.031,44.0,2022-01-11T00:37:14.031,44.0,2022-01-11T00:57:13.948,76.0,2022-01-11T00:27:14.023,76.0,2022-01-11T00:32:50.204,43.1
3,2022-01-11T01:07:13.956,44.0,2022-01-11T01:07:13.956,44.0,2022-01-11T01:22:13.969,76.0,2022-01-11T00:32:14.027,76.0,2022-01-11T00:39:03.185,43.1
4,2022-01-11T01:32:13.977,44.0,2022-01-11T01:32:13.977,44.0,2022-01-11T01:32:13.977,76.0,2022-01-11T00:33:59.187,75.0,2022-01-11T00:52:01.074,43.2
5,2022-01-11T01:57:13.997,44.0,2022-01-11T01:52:13.993,44.0,2022-01-11T01:36:33.14,75.0,2022-01-11T00:34:17.205,75.0,2022-01-11T00:53:05.065,43.2
6,2022-01-11T02:27:13.922,44.0,2022-01-11T01:55:55.186,43.0,2022-01-11T01:47:13.989,75.0,2022-01-11T00:37:07.167,76.0,2022-01-11T00:55:44.076,43.0
7,2022-01-11T02:52:13.943,44.0,2022-01-11T01:57:27.195,44.0,2022-01-11T01:49:51.222,74.0,2022-01-11T00:42:14.036,76.0,2022-01-11T01:04:07.083,43.3
8,2022-01-11T03:17:13.964,44.0,2022-01-11T02:03:24.124,43.0,2022-01-11T02:17:13.914,74.0,2022-01-11T00:45:03.218,75.0,2022-01-11T01:14:31.085,43.2
9,2022-01-11T03:42:13.984,44.0,2022-01-11T02:08:13.145,44.0,2022-01-11T02:42:13.935,74.0,2022-01-11T00:47:14.211,76.0,2022-01-11T01:18:38.049,43.2
10,2022-01-11T04:12:13.909,44.0,2022-01-11T02:37:13.93,44.0,2022-01-11T03:07:13.955,74.0,2022-01-11T00:56:41.079,75.0,2022-01-11T01:22:55.075,43.4
11,2022-01-11T04:37:13.93,44.0,2022-01-11T02:47:13.939,44.0,2022-01-11T03:09:55.072,75.0,2022-01-11T01:02:13.952,76.0,2022-01-11T01:33:12.149,43.0
12,2022-01-11T05:02:13.95,44.0,2022-01-11T02:48:16.978,43.0,2022-01-11T03:10:44.056,74.0,2022-01-11T01:27:13.973,76.0,2022-01-11T01:42:23.205,43.4
13,2022-01-11T05:32:13.875,44.0,2022-01-11T02:50:10.999,44.0,2022-01-11T03:37:13.98,74.0,2022-01-11T01:32:13.977,76.0,2022-01-11T01:48:01.211,43.0
14,2022-01-11T05:57:13.896,44.0,2022-01-11T03:17:13.964,44.0,2022-01-11T04:07:13.905,74.0,2022-01-11T01:36:15.138,75.0,2022-01-11T01:48:45.203,43.0
15,2022-01-11T06:22:13.916,44.0,2022-01-11T03:27:13.972,44.0,2022-01-11T04:32:13.925,74.0,2022-01-11T01:47:13.989,75.0,2022-01-11T01:58:07.178,42.9
16,2022-01-11T06:52:13.841,44.0,2022-01-11T03:30:01.032,43.0,2022-01-11T04:57:13.946,74.0,2022-01-11T01:49:25.217,74.0,2022-01-11T02:05:19.143,42.8
17,2022-01-11T07:17:13.862,44.0,2022-01-11T03:31:20.047,44.0,2022-01-11T05:27:13.871,74.0,2022-01-11T02:17:13.914,74.0,2022-01-11T02:17:27.065,43.0
18,2022-01-11T07:42:13.882,44.0,2022-01-11T03:57:13.897,44.0,2022-01-11T05:52:13.891,74.0,2022-01-11T02:42:13.935,74.0,2022-01-11T02:31:21.011,43.2
19,2022-01-11T08:12:13.807,44.0,2022-01-11T04:02:13.901,44.0,2022-01-11T06:17:13.912,74.0,2022-01-11T03:07:13.955,74.0,2022-01-11T02:35:19.036,43.2
20,2022-01-11T08:37:13.828,44.0,2022-01-11T04:06:29.803,43.0,2022-01-11T06:47:13.837,74.0,2022-01-11T03:09:59.05,75.0,2022-01-11T02:51:08.984,43.0
21,2022-01-11T09:02:13.848,44.0,2022-01-11T04:12:13.909,43.0,2022-01-11T07:07:13.853,74.0,2022-01-11T03:10:37.036,75.0,2022-01-11T03:05:00.029,43.2
22,2022-01-11T09:27:13.869,44.0,2022-01-11T04:12:29.759,44.0,2022-01-11T07:09:21.649,73.0,2022-01-11T03:17:13.964,74.0,2022-01-11T03:12:51.087,43.2
23,2022-01-11T09:57:13.794,44.0,2022-01-11T04:20:28.82,43.0,2022-01-11T07:09:42.662,74.0,2022-01-11T03:42:13.984,74.0,2022-01-11T03:21:53.017,42.9
24,2022-01-11T10:22:13.814,44.0,2022-01-11T04:21:10.831,44.0,2022-01-11T07:17:13.862,74.0,2022-01-11T04:07:13.905,74.0,2022-01-11T03:32:45.051,43.0
25,2022-01-11T10:47:13.835,44.0,2022-01-11T04:27:13.921,44.0,2022-01-11T07:21:29.406,73.0,2022-01-11T04:08:53.807,73.0,2022-01-11T03:40:37.03,43.0
26,2022-01-11T11:17:13.76,44.0,2022-01-11T04:37:13.93,44.0,2022-01-11T07:23:19.401,73.0,2022-01-11T04:09:45.787,74.0,2022-01-11T03:56:24.928,43.0
27,2022-01-11T11:42:13.78,44.0,2022-01-11T04:38:14.894,43.0,2022-01-11T07:23:57.403,74.0,2022-01-11T04:11:30.759,74.0,2022-01-11T04:07:27.804,42.8
28,2022-01-11T12:07:13.801,44.0,2022-01-11T04:45:12.913,44.0,2022-01-11T07:26:35.338,73.0,2022-01-11T04:37:13.93,74.0,2022-01-11T04:11:36.781,42.8
29,2022-01-11T12:37:13.726,44.0,2022-01-11T04:46:46.903,43.0,2022-01-11T07:26:50.345,74.0,2022-01-11T04:40:05.92,73.0,2022-01-11T04:16:34.773,43.0
30,2022-01-11T13:02:13.746,44.0,2022-01-11T04:47:02.893,44.0,2022-01-11T07:52:13.89,74.0,2022-01-11T04:40:56.901,74.0,2022-01-11T04:27:18.866,43.0
31,2022-01-11T13:27:13.767,44.0,2022-01-11T04:57:13.946,44.0,2022-01-11T08:22:13.815,74.0,2022-01-11T04:41:13.905,73.0,2022-01-11T04:39:14.908,42.8
32,2022-01-11T13:57:13.692,44.0,2022-01-11T05:07:13.954,44.0,2022-01-11T08:42:13.832,74.0,2022-01-11T04:41:31.907,74.0,2022-01-11T05:00:00.851,42.9
33,2022-01-11T14:22:13.712,44.0,2022-01-11T05:08:51.776,44.0,2022-01-11T08:45:29.3,75.0,2022-01-11T04:41:46.914,73.0,2022-01-11T05:05:11.837,42.9
34,2022-01-11T14:47:13.733,44.0,2022-01-11T05:17:13.863,44.0,2022-01-11T08:49:23.269,74.0,2022-01-11T04:42:14.885,74.0,2022-01-11T05:19:22.812,42.9
35,2022-01-11T15:17:13.658,44.0,2022-01-11T05:20:13.824,43.0,2022-01-11T08:57:13.844,74.0,2022-01-11T05:12:13.858,74.0,2022-01-11T05:26:48.833,42.7
36,2022-01-11T15:42:13.678,44.0,2022-01-11T05:37:13.879,43.0,2022-01-11T08:59:27.287,75.0,2022-01-11T05:22:13.867,74.0,2022-01-11T05:34:35.913,42.8
37,2022-01-11T16:07:13.699,44.0,2022-01-11T05:38:26.95,44.0,2022-01-11T08:59:59.298,74.0,2022-01-11T05:24:24.798,73.0,2022-01-11T05:47:39.955,42.8
38,2022-01-11T16:32:13.62,44.0,2022-01-11T05:42:40.965,43.0,2022-01-11T09:00:15.288,74.0,2022-01-11T05:24:47.823,73.0,2022-01-11T05:59:12.893,42.9
39,2022-01-11T16:57:13.64,44.0,2022-01-11T05:46:52.968,44.0,2022-01-11T09:00:33.29,75.0,2022-01-11T05:26:16.837,74.0,2022-01-11T06:21:58.878,42.9
40,2022-01-11T17:22:13.661,44.0,2022-01-11T05:48:02.965,43.0,2022-01-11T09:27:13.869,75.0,2022-01-11T05:52:13.891,74.0,2022-01-11T06:34:24.855,42.9
41,2022-01-11T17:47:13.682,44.0,2022-01-11T05:52:04.937,44.0,2022-01-11T09:57:13.794,75.0,2022-01-11T06:17:13.912,74.0,2022-01-11T06:40:50.731,42.9
42,2022-01-11T18:17:13.606,44.0,2022-01-11T05:57:13.896,44.0,2022-01-11T10:22:13.814,75.0,2022-01-11T06:42:13.833,74.0,2022-01-11T06:52:49.534,42.8
43,2022-01-11T18:42:13.627,44.0,2022-01-11T05:58:46.903,43.0,2022-01-11T10:47:13.835,75.0,2022-01-11T06:45:58.629,73.0,2022-01-11T06:59:33.575,42.7
44,2022-01-11T19:07:13.648,44.0,2022-01-11T06:05:28.916,44.0,2022-01-11T11:17:13.76,75.0,2022-01-11T06:47:56.55,74.0,2022-01-11T07:17:47.62,42.7
45,2022-01-11T19:37:13.572,44.0,2022-01-11T06:22:13.916,44.0,2022-01-11T11:42:13.78,75.0,2022-01-11T06:50:09.54,73.0,2022-01-11T07:35:31.386,42.8
46,2022-01-11T20:02:13.593,44.0,2022-01-11T06:25:07.888,44.0,2022-01-11T12:07:13.801,75.0,2022-01-11T06:50:37.542,74.0,2022-01-11T07:51:25.359,42.8
47,2022-01-11T20:27:13.614,44.0,2022-01-11T06:37:13.929,44.0,2022-01-11T12:37:13.726,75.0,2022-01-11T06:57:13.845,74.0,2022-01-11T07:59:07.316,42.7
